CCS|label
0001|Tuberculosis
0002|Septicemia (except in labor)
0003|Bacterial infection; unspecified site
0004|Mycoses
0005|HIV infection
0006|Hepatitis
0007|Viral infection
0008|Other infections; including parasitic
0009|Sexually transmitted infections (not HIV or hepatitis)
0010|Immunizations and screening for infectious disease
0011|Cancer of head and neck
0012|Cancer of esophagus
0013|Cancer of stomach
0014|Cancer of colon
0015|Cancer of rectum and anus
0016|Cancer of liver and intrahepatic bile duct
0017|Cancer of pancreas
0018|Cancer of other GI organs; peritoneum
0019|Cancer of bronchus; lung
0020|Cancer; other respiratory and intrathoracic
0021|Cancer of bone and connective tissue
0022|Melanomas of skin
0023|Other non-epithelial cancer of skin
0024|Cancer of breast
0025|Cancer of uterus
0026|Cancer of cervix
0027|Cancer of ovary
0028|Cancer of other female genital organs
0029|Cancer of prostate
0030|Cancer of testis
0031|Cancer of other male genital organs
0032|Cancer of bladder
0033|Cancer of kidney and renal pelvis
0034|Cancer of other urinary organs
0035|Cancer of brain and nervous system
0036|Cancer of thyroid
0037|Hodgkin`s disease
0038|Non-Hodgkin`s lymphoma
0039|Leukemias
0040|Multiple myeloma
0041|Cancer; other and unspecified primary
0042|Secondary malignancies
0043|Malignant neoplasm without specification of site
0044|Neoplasms of unspecified nature or uncertain behavior
0045|Maintenance chemotherapy; radiotherapy
0046|Benign neoplasm of uterus
0047|Other and unspecified benign neoplasm
0048|Thyroid disorders
0049|Diabetes mellitus without complication
0050|Diabetes mellitus with complications
0051|Other endocrine disorders
0052|Nutritional deficiencies
0053|Disorders of lipid metabolism
0054|Gout and other crystal arthropathies
0055|Fluid and electrolyte disorders
0056|Cystic fibrosis
0057|Immunity disorders
0058|Other nutritional; endocrine; and metabolic disorders
0059|Deficiency and other anemia
0060|Acute posthemorrhagic anemia
0061|Sickle cell anemia
0062|Coagulation and hemorrhagic disorders
0063|Diseases of white blood cells
0064|Other hematologic conditions
0650|Adjustment disorders
0651|Anxiety disorders
0652|Attention-deficit, conduct, and disruptive behavior disorders
0653|Delirium, dementia, and amnestic and other cognitive disorders
0654|Developmental disorders
0655|Disorders usually diagnosed in infancy, childhood, or adolescence
0656|Impulse control disorders, NEC
0657|Mood disorders
0658|Personality disorders
0659|Schizophrenia and other psychotic disorders
0660|Alcohol-related disorders
0661|Substance-related disorders
0662|Suicide and intentional self-inflicted injury
0663|Screening and history of mental health and substance abuse codes
0670|Miscellaneous mental health disorders    
0076|Meningitis (except that caused by tuberculosis or sexually transmitted disease)
0077|Encephalitis (except that caused by tuberculosis or sexually transmitted disease)
0078|Other CNS infection and poliomyelitis
0079|Parkinson`s disease
0080|Multiple sclerosis
0081|Other hereditary and degenerative nervous system conditions
0082|Paralysis
0083|Epilepsy; convulsions
0084|Headache; including migraine
0085|Coma; stupor; and brain damage
0086|Cataract
0087|Retinal detachments; defects; vascular occlusion; and retinopathy
0088|Glaucoma
0089|Blindness and vision defects
0090|Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
0091|Other eye disorders
0092|Otitis media and related conditions
0093|Conditions associated with dizziness or vertigo
0094|Other ear and sense organ disorders
0095|Other nervous system disorders
0096|Heart valve disorders
0097|Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)
0098|Essential hypertension
0099|Hypertension with complications and secondary hypertension
0100|Acute myocardial infarction
0101|Coronary atherosclerosis and other heart disease
0102|Nonspecific chest pain
0103|Pulmonary heart disease
0104|Other and ill-defined heart disease
0105|Conduction disorders
0106|Cardiac dysrhythmias
0107|Cardiac arrest and ventricular fibrillation
0108|Congestive heart failure; nonhypertensive
0109|Acute cerebrovascular disease
0110|Occlusion or stenosis of precerebral arteries
0111|Other and ill-defined cerebrovascular disease
0112|Transient cerebral ischemia
0113|Late effects of cerebrovascular disease
0114|Peripheral and visceral atherosclerosis
0115|Aortic; peripheral; and visceral artery aneurysms
0116|Aortic and peripheral arterial embolism or thrombosis
0117|Other circulatory disease
0118|Phlebitis; thrombophlebitis and thromboembolism
